"ENSEMBL","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENTREZID_mappings","Ecol_K-12MG1655_1G_CTRL_Rep1","Ecol_K-12MG1655_1G_CTRL_Rep2","Ecol_K-12MG1655_1G_CTRL_Rep3","Ecol_K-12MG1655_1G_CTRL_Rep4","Ecol_K-12MG1655_uG_Clinorotation_Rep1","Ecol_K-12MG1655_uG_Clinorotation_Rep2","Ecol_K-12MG1655_uG_Clinorotation_Rep3","Ecol_K-12MG1655_uG_Clinorotation_Rep4"
NA,"ECs3690|ygdR","hypothetical protein|DUF903 family verified lipoprotein",NA,"916497|947304",NA,"GO:0005886|GO:0016020","1767352_s_at",2,9.51119199031269,9.40403995590552,9.51497346956256,9.13040773476184,9.4861345293481,9.36979416592979,9.40754261233659,9.23113521609548
NA,"ECs1113|ECs2727","minor tail protein",NA,"912414|912621",NA,NA,"1767353_s_at",2,1.74219181565018,2.70886252745546,1.54267346993243,1.45637248202617,1.70899038545236,1.5270837940684,1.74219181565018,1.35267297996393
NA,NA,NA,NA,NA,NA,NA,"1767354_at",0,8.26683085127201,8.28161955851217,8.16153184387751,8.54098736384789,8.30667446526863,8.43495785708656,8.32537228217083,8.53028405923355
NA,NA,NA,NA,NA,NA,NA,"1767355_s_at",0,7.98709428372188,7.71053594592649,7.74042502307619,7.07070539301021,7.91032900113981,7.19359147880327,7.66216101913711,7.31941921032862
NA,"chaC|ECs1723","cation transport regulator",NA,"913138|945793",NA,NA,"1767356_s_at",2,9.15868130311883,9.22063267939438,9.22505272671506,9.29965096657681,9.13085648353339,9.15931950494915,9.16731806858151,9.34153986026695
NA,"nikE","nickel transporter ATP-binding protein NikE|nickel ABC transporter ATPase",NA,"915802|947987",NA,"GO:0006810|GO:0006811|GO:0006974|GO:0008152|GO:0015675|GO:0035444|GO:0072511|GO:0005886|GO:0016020|GO:0043190|GO:0000166|GO:0005524|GO:0015413|GO:0016151|GO:0016787|GO:0016887","1767357_s_at",2,8.4131489703191,8.257660084786,8.26975534198741,8.89098900269714,8.15208790378066,8.60921368744295,8.56568851370274,9.04029519806187
NA,"ECs3075|rsuA",NA,NA,"916779|945378",NA,"GO:0000455|GO:0001522|GO:0006364|GO:0009451|GO:0005829|GO:0003723|GO:0005515|GO:0009982|GO:0016853|GO:0016866","1767358_s_at",2,8.59111618938855,8.63584025431491,8.68258895729017,8.92186907673271,8.29064014046403,8.99159792802775,8.94930100686785,8.92569650471156
NA,"ECs2476","transporter",NA,"914154",NA,"GO:0055085|GO:0016020|GO:0016021|GO:0022857","1767359_s_at",1,2.7521937077128,3.11757620135699,3.1409557463773,2.34113445822505,5.17942960071983,2.31691327240853,2.68342569968095,2.34833149626883
NA,"ECs1211","hypothetical protein",NA,"912967",NA,NA,"1767360_s_at",1,3.81020809508318,3.87086440595274,4.00959170662687,3.47807355179534,3.94209604615404,3.58602202989271,3.3648809717912,3.42464251636677
NA,NA,NA,NA,NA,NA,NA,"1767361_at",0,2.55884741553476,3.33955719033081,2.94023474658754,2.07250182766763,4.42413119625194,2.35955590681705,2.10676798164215,1.27740794362206
